group,source_path,description
p1-karakterisasi,results/processed/h1-indicator-coverage.csv,Cakupan 35 kandidat indikator dan status verified/partial/unavailable (H1)
p1-karakterisasi,results/processed/h2-indicator-summary.csv,Pilot perbandingan dua kanal per indikator (H2)
p1-karakterisasi,results/processed/h3-discrepancies.csv,33 sel yang berbeda antara WebAPI dan TPB 2024 (H3)
p1-karakterisasi,results/processed/h3-granularity.csv,82 pemeriksaan nilai nasional terhadap rentang provinsi (H3)
p1-karakterisasi,results/processed/h3-release-discrepancies.csv,8 perbedaan nilai antarrilis TPB 2024 / TPB 2025 / WebAPI (H3)
p1-karakterisasi,results/processed/h5-confirmed-events.csv,123 kejadian ketidaksesuaian dengan sebab dan tingkat bukti setelah konfirmasi (H5)
p1-karakterisasi,results/processed/h5-gate-g1-summary.csv,Tiga kriteria Gate G1 dan hasilnya (H5)
p1-karakterisasi,results/processed/h5-revision-traces.csv,14 jejak revisi dengan 38 baris vintage (H5)
p2-representasi,results/processed/h6-release-vintages.csv,Dimensi vintage: 3 rilis (H6)
p2-representasi,results/processed/h6-indicator-observations.csv,38 observasi sel indikator dengan vintage eksplisit (H6)
p2-representasi,results/processed/h9-b3-asof-states.csv,42 baris state per rilis yang direkonstruksi B3 dan sama dengan snapshot B1 (H9A)
p3-ongkos,results/processed/h9-b3-arrival-catalog.csv,Sel yang dihitung ulang B3 per kedatangan rilis nyata (H9A)
p3-ongkos,results/processed/h9-b3-summary.csv,Ringkasan B3: store serving evaluasi sel dan rasio kerja logis (H9A)
p3-ongkos,results/processed/h9b-route-executions.csv,20 eksekusi logis revisi tersuntik: 5 skenario x 4 perlakuan (H9B)
p3-ongkos,results/processed/h10-storage-by-treatment.csv,Ruang fisik per perlakuan: median dan rentang 3 repetisi (H10A)
p3-ongkos,results/processed/h10-storage-tables.csv,Ruang fisik per tabel dan per repetisi termasuk objek tidak dirujuk (H10A)
p3-ongkos,results/processed/h10-storage-footprint.csv,Ruang fisik per kelas objek Iceberg per repetisi (H10A)
p3-ongkos,results/processed/h10b-apply-cost.csv,Waktu pernyataan dan pertambahan byte satu revisi tersuntik per perlakuan (H10B)
p3-ongkos,results/processed/h10b-storage-delta.csv,Selisih byte baseline-sesudah revisi per tabel dan per repetisi (H10B)
p4-reproducibility,results/processed/h9c-reproducibility-table.csv,Tabel reproducibility empat perlakuan (H9C)
p4-reproducibility,results/processed/h9c-reproducibility-figure-data.csv,Data gambar addressable/unavailable empat perlakuan (H9C)
p4-reproducibility,results/processed/h9c-reproducibility-audit.csv,152 baris audit permintaan empat perlakuan (H9C)
p4-reproducibility,results/processed/h10-recall-after-restart.csv,152 pemanggilan ulang fisik setelah restart katalog (H10A)
p4-reproducibility,results/processed/h10b-recall-after-revision.csv,316 pemanggilan ulang fisik setelah satu revisi tersuntik (H10B)
p4-reproducibility,results/processed/h9c-summary.csv,Ringkasan lineage bukti: node edge path dan completeness (H9C)
p4-reproducibility,results/processed/h7-b0-summary.csv,Ringkasan perlakuan B0 overwrite (H7A)
p4-reproducibility,results/processed/h8-b1-summary.csv,Ringkasan perlakuan B1 snapshot penuh (H8A)
pembahasan-b2,results/processed/h6b-source-trust-scores.csv,Skor kepercayaan beku tiga sumber untuk B2 (H6B)
pembahasan-b2,results/processed/h7b-b2-summary.csv,Ringkasan perlakuan B2 single source (H7B)
pembahasan-b2,results/processed/h7b-b2-discarded-candidates.csv,24 kandidat yang dibuang B2 beserta alasannya (H7B)
p3-ongkos,results/processed/h11-sweep-scenarios.csv,Enam titik sweep utama pada panel provinsi beserta keluaran yang diprediksi per perlakuan (H11)
p3-ongkos,results/processed/h11-apply-cost.csv,"Waktu, byte, sel dievaluasi, recall dan propagasi per titik sweep dan perlakuan (H11)"
p3-ongkos,results/processed/h11-breakeven.csv,Titik impas inkremental terhadap setiap pembanding pada waktu dan byte (H11)
p3-ongkos,results/processed/h11-statement-timing.csv,Waktu setiap pernyataan Spark SQL pada tiga repetisi sweep utama (H11)
p3-ongkos,results/processed/h11-storage-delta.csv,Byte baseline dan sesudah revisi per tabel, repetisi dan titik sweep (H11)
p4-reproducibility,results/processed/h11-recall.csv,Recall permintaan panel dan sintetis per perlakuan pada setiap titik sweep (H11)
pembahasan-b2,results/processed/h11-propagation.csv,Propagasi revisi per perlakuan pada semesta sweep sumber tunggal (H11)
p3-ongkos,results/processed/h12-arrival-cost.csv,"Waktu, keadaan dan byte tiap perlakuan setelah setiap rilis nyata panel (H12)"
p3-ongkos,results/processed/h12-final-footprint.csv,Footprint akhir tiap tabel setelah keempat rilis nyata diterapkan (H12)
