source_key,title,sections,prior_occurrences,evidence_url,evidence_authority,identifier,canonical_year,canonical_venue,verification_level,verified_at,metadata_correction,relevance_note,verification_result
correct_by_design,Building a Correct-by-Design Lakehouse. Data Contracts Versioning and Transactional Pipelines for Humans and Agents,D;H,2,https://arxiv.org/abs/2602.02335,preprint_repository,arXiv:2602.02335,2026,arXiv cs.DB preprint,metadata,2026-09-09,title punctuation aligned with the arXiv record,data contracts versioning and transactional pipeline runs,verified_primary_metadata
discord_quality,Evaluating Quality of Disparate Data Sources: A Discord-Driven Approach,E;F,2,https://link.springer.com/chapter/10.1007/978-3-032-05281-0_10,publisher,10.1007/978-3-032-05281-0_10,2026,ADBIS 2025 LNCS 16043:147-163,metadata,2026-09-09,conference year 2025 retained in venue; Springer bibliographic year set to 2026,discord and multi-granular source evaluation,verified_primary_metadata
ecb_wp846,Information combination and forecast (st)ability: Evidence from vintages of time-series data,G,1,https://www.ecb.europa.eu/pub/pdf/scpwps/ecbwp846.pdf,official_working_paper,ECB Working Paper 846,2007,ECB Working Paper Series 846,metadata,2026-09-09,year 2008 corrected to official publication date 20 December 2007,use of complete revision histories in forecasting,verified_primary_metadata
enzyme,Enzyme: Incremental View Maintenance for Data Engineering,H,1,https://arxiv.org/abs/2603.27775,preprint_repository,arXiv:2603.27775,2026,arXiv cs.DB preprint,metadata,2026-09-09,none,cost-based incremental refresh planning for Spark pipelines,verified_primary_metadata
expost_harmonisation,A Unified Statistical And Computational Framework For Ex-Post Harmonisation Of Aggregate Statistics,E;G,2,https://arxiv.org/abs/2406.14163,preprint_repository,arXiv:2406.14163,2024,arXiv cs.DB and stat.ME preprint,metadata,2026-09-09,none,provenance-aware harmonisation of aggregate statistics,verified_primary_metadata
fabric_mlv,Microsoft Fabric Materialized Lake Views optimal refresh,H,1,https://learn.microsoft.com/en-us/fabric/data-engineering/materialized-lake-views/refresh-materialized-lake-view,official_product_documentation,Microsoft Fabric MLV optimal refresh,2026,Microsoft Learn product documentation,metadata,2026-09-09,year 2025 replaced by verified documentation date 2026,cost-aware no-op incremental or full refresh selection,verified_primary_metadata
feldera,Feldera Incremental Computation Engine,H,1,https://github.com/feldera/feldera,official_project,Feldera DBSP,2026,Feldera open-source project,metadata,2026-09-09,product identity and DBSP basis recorded from the official repository,incremental SQL materialized views for batch and streaming changes,verified_primary_metadata
gcc_ogd,Assessing the availability and interoperability of open government data (OGD) supporting sustainable development goals (SDGs) and value creation in the Gulf Cooperation Council (GCC),A,1,https://link.springer.com/article/10.1007/s11135-024-02025-2,publisher,10.1007/s11135-024-02025-2,2025,Quality & Quantity 59:1573-1593,metadata,2026-09-09,year 2024 corrected to volume year 2025; first online 2024,SDG open-data availability and semantic interoperability,verified_primary_metadata
lakehouse_survey,Data Lakehouse: A survey and experimental study,B,1,https://www.sciencedirect.com/science/article/pii/S0306437924001182,publisher,10.1016/j.is.2024.102460,2025,Information Systems 127:102460,metadata,2026-09-09,year 2024 corrected to volume year 2025; first online 2024,lakehouse survey and experimental comparison,verified_primary_metadata
lineage_constraints,Learning Lineage Constraints for Data Science Operations,D,1,https://arxiv.org/abs/2506.18252,preprint_repository,arXiv:2506.18252,2025,arXiv cs.DB vision paper,metadata,2026-09-09,venue left as preprint because the manuscript contains placeholder conference metadata,cross-library logical lineage constraints,verified_primary_metadata
llm_provenance,An LLM-guided platform for multi-granular collection and management of data provenance,D,1,https://link.springer.com/article/10.1186/s40537-025-01209-3,publisher,10.1186/s40537-025-01209-3,2025,Journal of Big Data 12:187,metadata,2026-09-09,none,automated multi-granular provenance capture,verified_primary_metadata
ml_pipeline_provenance,Capturing end-to-end provenance for machine learning pipelines,D,1,https://www.sciencedirect.com/science/article/pii/S0306437924001534,publisher,10.1016/j.is.2024.102495,2025,Information Systems 132:102495,metadata,2026-09-09,none,PROV-compliant end-to-end pipeline provenance,verified_primary_metadata
reviser,reviser: Analyzing Revisions in Real-Time Time Series Vintages,G,1,https://packages.ropensci.org/reviser,official_project,reviser 0.2.0,2026,rOpenSci package,metadata,2026-09-09,current release verified as 0.2.0 dated 2026-08-22,revision triangles diagnostics and vintage analysis,verified_primary_metadata
satu_data_sdmf,Satu Data Indonesia in Sectoral Statistics: Concept of Satu Data Metadata Framework (SDMF),E,1,https://proceedings.stis.ac.id/icdsos/article/view/243,official_proceedings,10.34123/icdsos.v2021i1.243,2022,Proceedings ICDSOS 2021(1):315-325,metadata,2026-09-09,issue year 2021 and publication date 2022 recorded explicitly,Indonesian official-statistics metadata interoperability,verified_primary_metadata
truth_discovery_survey,A Survey on Truth Discovery: Concepts Methods Applications and Opportunities,F,1,https://ieeexplore.ieee.org/document/10587116,publisher,10.1109/TBDATA.2024.3423677,2025,IEEE Transactions on Big Data 11(2):314-332,metadata,2026-09-09,year 2024 corrected to volume year 2025; online 2024,truth-discovery assumptions and methods,verified_primary_metadata
