metric,value,unit,interpretation
input_observations,38,rows,"same H6 real-revision workload as B0, B1, and B2"
arrival_batches,3,batches,"TPB 2024, TPB 2025, WebAPI 2026"
store_rows,38,rows,append-only observations keyed by cell_id and vintage_id
serving_rows,14,rows,one derived latest-vintage row per stable cell
logical_materialized_rows,52,rows,store plus serving rows; B1 has 42 row appearances; not a byte measurement
recomputed_cells,38,cell_evaluations,dirty cells resolved incrementally across all arrivals
full_recompute_cells,42,cell_evaluations,evaluations a full recomputation after every arrival would perform
recompute_ratio,0.9048,ratio,logical work ratio on the real workload; not a runtime result
value_changed_cells,14,cells,resolved value changed after an arrival
provenance_only_cells,10,cells,newer vintage with the same numeric value
asof_rows,42,rows,release states reconstructed on demand; equal to B1 snapshots
vintage_read_successes,38,requests,addressable by cell_id and vintage_id
vintage_read_failures,0,requests,must remain zero for B3
vintage_read_success_rate,1.0000,ratio,functional result; runtime and bytes are deferred to H10
