freeze_id,freeze_item_4_4,scope,frozen_value,evidence_path,evidence_sha256
F1.1,1,dataset_snapshot,"WebAPI BPS snapshot H1 retrieved 2026-09-08T14:04:19Z; 29 variables, 240 period ids, 27826 cells",data/manifests/h1-free-webapi-data.json,54f99452eece1a45abad7d11397aa1d3d711f9452503c5a0eecdf3ec899c4d51
F1.2,1,dataset_snapshot,WebAPI BPS snapshot H3 retrieved 2026-09-08T23:38:59Z; 20 variables for the province comparison,data/manifests/h3-free-webapi-data.json,ed9d3f8e5e708fd60df7da943b929b74a66561493f82c93069be0b6830097c3d
F1.3,1,dataset_snapshot,"TPB 2024 released 2024-12-31 and TPB 2025 released 2025-12-30, both retrieved 2026-09-08T14:05:34Z",data/manifests/h1-free-publications.json,e5370c608458a1d69f054b98200c2949738231cbeef448e93f2196aa455c59bb
F1.4,1,dataset_snapshot,"Three vintages of the evidence fixture: bps_tpb_2024, bps_tpb_2025, bps_webapi 2026-09-08",results/processed/h6-release-vintages.csv,7092d42c678a2c42dc0ea516672d3025cb817232b28adebeba9b627aabd602f2
F1.5,1,source_registry,"Active free channels only; SIRuSa, DNA, Silastik/PST, paid microdata and paid boundaries stay on hold",config/sources/bps_sources.csv,07418d3c0c4335e52fecae25fe5dd5008d5305b7c28116fc11bed9c3828aa29f
F2.1,2,indicator_inventory,"35 candidate indicators over five domains: 14 verified, 17 partial, 4 unavailable",results/processed/h1-indicator-coverage.csv,268c47012309a03cfd256cd558f92bbf3bb35ab8e45506c6a930e91565b6cefe
F2.2,2,evidence_fixture,"14 cells and 38 observations over 4 indicators: sdg08_productivity_growth (10 cells), sdg08_gdp_per_capita_growth (2), sdg07_renewable_share (1), sdg15_forest_cover (1)",results/processed/h6-indicator-observations.csv,80650a40d1fafeb1e3ec0f71eacf88be90efbe4bb5c919df39fd33af06832af2
F2.3,2,sweep_panel,"Province panel of 6983 observations over 5378 cells, 16 indicators, five domains, 38 provinces plus national, 2015-2025, after dropping 683 duplicate (cell_id, source_id) rows verified identical",results/processed/h4-ingested-observations.csv,7d5cf902259dde3294f0f364fa24835554e7fc2b73f995456ddc46bb0d5a0a89
F3.1,3,discrepancy_rules,"Eight classification rules R01-R08 over three cause families: vintage, methodology, granularity",config/h4/classification_rules.csv,e0fd8eb3a04b615ac6221e6e4270b50d6e9b2573409a99b3938b0e9c158630df
F3.2,3,cell_identity,"cell_id = sha256(indicator_key, series_key, observed_period, geo_level, geo_code) truncated to 20 hex; vintage_id = sha256(source_id, release_date, source_manifest_sha256) truncated to 20 hex",data/manifests/h6-vintage-schema.json,416c6892d04a0a3c0b3c475f8a51d941a88cca9c68a197cf681f9449511f0ff4
